(336, 165, 25, 60)
(338.0, 163.0, 25.0, 60.0)
(336.0, 163.0, 25.0, 60.0)
(336.0, 167.0, 25.0, 60.0)
(340.0, 147.0, 25.0, 60.0)
(339.0, 141.0, 25.0, 60.0)
(339.0, 137.0, 25.0, 60.0)
(336.0, 137.0, 25.0, 60.0)
(330.0, 137.0, 25.0, 60.0)
(322.0, 135.0, 25.0, 60.0)
(313.0, 159.0, 25.0, 60.0)
(310.0, 169.0, 25.0, 60.0)
(304.0, 156.0, 25.0, 60.0)
(296.0, 155.0, 25.0, 60.0)
(290.0, 152.0, 25.0, 60.0)
(287.0, 152.0, 25.0, 60.0)
(277.0, 159.0, 25.0, 60.0)
(273.0, 158.0, 25.0, 60.0)
(268.0, 147.0, 25.0, 60.0)
(262.0, 145.0, 25.0, 60.0)
(257.0, 143.0, 25.0, 60.0)
(251.0, 151.0, 25.0, 60.0)
(246.0, 139.0, 25.0, 60.0)
(240.0, 136.0, 25.0, 60.0)
(234.0, 134.0, 25.0, 60.0)
(228.0, 132.0, 25.0, 60.0)
(222.0, 130.0, 25.0, 60.0)
(216.0, 128.0, 25.0, 60.0)
(206.0, 122.0, 25.0, 60.0)
(198.0, 121.0, 25.0, 60.0)
(195.0, 120.0, 25.0, 60.0)
(189.0, 117.0, 25.0, 60.0)
(180.0, 114.0, 25.0, 60.0)
(174.0, 112.0, 25.0, 60.0)
(171.0, 112.0, 25.0, 60.0)
(165.0, 110.0, 25.0, 60.0)
(155.0, 107.0, 25.0, 60.0)
(148.0, 105.0, 25.0, 60.0)
(145.0, 104.0, 25.0, 60.0)
(135.0, 101.0, 25.0, 60.0)
(128.0, 98.0, 25.0, 60.0)
(120.0, 96.0, 25.0, 60.0)
(112.0, 94.0, 25.0, 60.0)
(104.0, 91.0, 25.0, 60.0)
(96.0, 89.0, 25.0, 60.0)
(88.0, 88.0, 25.0, 60.0)
(80.0, 86.0, 25.0, 60.0)
(72.0, 84.0, 25.0, 60.0)
(64.0, 82.0, 25.0, 60.0)
(57.0, 80.0, 25.0, 60.0)
(49.0, 78.0, 25.0, 60.0)
(39.0, 73.0, 25.0, 60.0)
(30.0, 71.0, 25.0, 60.0)
(23.0, 69.0, 25.0, 60.0)
(15.0, 68.0, 25.0, 60.0)
(5.0, 64.0, 25.0, 60.0)
(0.0, 63.0, 25.0, 60.0)
(0.0, 39.0, 25.0, 60.0)
(0.0, 63.0, 25.0, 60.0)
(16.0, 52.0, 25.0, 60.0)
(6.0, 50.0, 25.0, 60.0)
(2.0, 49.0, 25.0, 60.0)
(3.0, 59.0, 25.0, 60.0)
(0.0, 78.0, 25.0, 60.0)
(0.0, 54.0, 25.0, 60.0)
(20.0, 42.0, 25.0, 60.0)
(10.0, 40.0, 25.0, 60.0)
(0.0, 34.0, 25.0, 60.0)
(0.0, 10.0, 25.0, 60.0)
(0.0, 0.0, 25.0, 60.0)
